Steam/Biomass
2.7
2.7
2.7
2.7
2.7
1.56
1.56
1.56
1.56
1.56
0
1.35
2.02
2.7
4.04
1.56
1.56
1.56
1.56
0.5
0.5
0.5
1
1
1
0.5
1
0.5
0.5
0.2
0.5
0.5
0.5
0.8
0.8
1.16
1.16
1.16
1.16
1.16
0.25
0.4
0.73
0.91
1.16
2
2
2
2
1.23
1.23
1.23
1.23
0.73
1.23
2.08
2.77
3.08
1.23
1.23
0.41
0.63
0.97
1.09
0.41
0.65
0.96
0.17
0.17
0.15
0.18
0.17
0.17
1.22
1.22
1.22
0.11
2.33
1.22
1.22
0
0.65
0.91
0.65
0
0.65
0.91
0
0.65
0
0
0.6
0
0
0
0.44
0
0.44
1.2
1.2
1.2
1.2
1.2
0.8
1
1.2
1.4
1.7
2
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.8
0.8
1
1
1
0.5
0.6
0.7
1
